,date_time,charge_desc,injured,killed,hit_run_lvl,address,lat,lng
40,0,"ENTRANCE FROM STOP THROUGH HIGHWAY,YIELD UNTIL REASONABLY SAFE",1,0,0,"3400   ORANGE AVENUE, San Diego, CA",32.6022421,-117.069412
41,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"5900   LINDA VISTA ROAD, San Diego, CA",32.8020723,-117.1573307
42,1,STARTING PARKED VEHICLES OR BACKING,0,0,1,"2800   MAPLE STREET, San Diego, CA",32.732954,-117.133532
43,1,SIGNAL LIGHTS:RED ARROW (I),1,0,0,"2900   LYTTON STREET, San Diego, CA",32.74372085982883,-117.21144251081549
44,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,0,"1200 S WOODMAN STREET, San Diego, CA",32.68962964743573,-117.04701145064654
45,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"4300   PALM AVENUE, San Diego, CA",32.5837636,-117.0887537
46,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"0   CAM DEL SUR  , San Diego, CA",,
47,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"500   SATURN BOULEVARD, San Diego, CA",32.587424,-117.092735
48,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"1500   CLOVE STREET, San Diego, CA",32.729327,-117.232775
49,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,0,"5500   MARKET STREET, San Diego, CA",32.7115386,-117.1461254
50,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1500   MONROE AVENUE, San Diego, CA",32.759159,-117.149881
51,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"3800   FAIRMOUNT AVENUE, San Diego, CA",32.7750252,-117.098281
52,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1700   QUIVIRA WAY, San Diego, CA",32.75919566584227,-117.23609454893511
53,1,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,0,0,1,"800   TORQUOISE STREET, San Diego, CA",,
54,1,"PROHIBITED STOPPING, STANDING, OR PARKING",0,0,1,"5100   FEDERAL BOULEVARD, San Diego, CA",32.721883,-117.084476
55,0,DUI ALCOHOL (M),0,0,0,"1600   BERYL STREET, San Diego, CA",32.806409,-117.242793
56,1,RIGHT-OF-WAY:ENTERING HWY (I),0,0,0,"3100   SPORTS ARENA BOULEVARD, San Diego, CA",32.751934,-117.205777
57,1,"RED ARROW,DO NOT ENTER INTERSECTION",0,0,1,"4300   PARK BOULEVARD, San Diego, CA",32.7257011,-117.150536
58,1,UNSAFE TURNING MOVEMENT (I),1,0,0,"0   11TH AVENUE, San Diego, CA",32.7169643,-117.1700668
59,1,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,0,"4300   PALM AVENUE, San Diego, CA",32.5837636,-117.0887537
60,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,0,"5000   FANUEL STREET, San Diego, CA",32.807075,-117.249061
61,1,STARTING PARKED VEHICLES OR BACKING,0,0,0,"0   ESTRELLA AVENUE, San Diego, CA",32.748596,-117.089828
62,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"5000   EAST MTN VIEW DRIVE, San Diego, CA",32.769182,-117.117267
63,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"2400   HOTEL NORTH CIRCLE, San Diego, CA",32.75842045,-117.17046931674109
64,1,STARTING PARKED VEHICLES OR BACKING,0,0,1,"4400   ESTRELLA AVENUE, San Diego, CA",32.756479,-117.090151
65,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"2600   MURRAY RIDGE ROAD, San Diego, CA",32.792443897770134,-117.14472884009172
66,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"3400   THORN STREET, San Diego, CA",32.73995,-117.120101
67,0,DURATION OF SIGNAL,0,0,1,"11800   CARMEL MTN ROAD, San Diego, CA",32.9654983,-117.1197029
68,0,FOLLOWING TOO CLOSELY,0,0,0,"9300   MIRA MESA BOULEVARD, San Diego, CA",32.9123574,-117.1493366
69,0,"ENTRANCE FROM STOP THROUGH HIGHWAY,YIELD UNTIL REASONABLY SAFE",1,0,0,"500   IVY STREET, San Diego, CA",32.728336,-117.160115
70,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,0,"4100   CHAMOUNE AVENUE, San Diego, CA",32.751526,-117.096655
71,0,UNSAFE START ON HWY (I),0,0,1,"1100   HOLLISTER STREET, San Diego, CA",32.576348,-117.084208
72,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"4800   ROLANDO COURT, San Diego, CA",32.767412,-117.057636
73,1,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,0,"2500   INGRAHAM STREET, San Diego, CA",32.7672782,-117.2334357
74,1,STARTING PARKED VEHICLES OR BACKING,1,0,0,"8700   GENESEE AVENUE, San Diego, CA",32.8142652,-117.1794037
75,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,0,"3000   CLAIREMONT DRIVE, San Diego, CA",32.7916517,-117.1973143
76,0,STARTING PARKED VEHICLES OR BACKING,0,0,1,"3600   ALTADENA AVENUE, San Diego, CA",32.74403239782443,-117.08586807849237
77,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,0,"2100   CORONADO AVENUE, San Diego, CA",32.576564,-117.088266
78,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1400   MARKET STREET, San Diego, CA",33.21912,-117.231383
79,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,0,"7600   CARROLL ROAD, San Diego, CA",32.885123907501246,-117.15909964620367
80,1,HIT AND RUN:PROP DAMAGE (M),0,0,1,"6500   AMBROSIA DRIVE, San Diego, CA",32.793890263755415,-117.109048
81,0,DRIVE THE WRONG WAY ON A DIVIDED HIGHWAY,0,0,1,"7300   NAVAJO ROAD, San Diego, CA",32.7949315,-117.0660668
82,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"3200   GREYLING DRIVE, San Diego, CA",32.801278,-117.140386
83,1,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,0,"3200   LA JOLLA VILLAGE DRIVE, San Diego, CA",32.8741136,-117.2075145
84,0,"PEDESTRIAN TRAFFIC, 'WAIT' SIGN",1,0,0,"1600   IMPERIAL AVENUE, San Diego, CA",32.7041759,-117.1067834
85,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,0,"8100   GENESEE AVENUE, San Diego, CA",32.8142652,-117.1794037
86,1,"SHALL NOT PROCEED THROUGH, AROUND, UNDER CLOSED CROSSING GATE (I)",0,0,1,"5200   LINDA VISTA ROAD, San Diego, CA",32.8020723,-117.1573307
87,1,UNSAFE START ON HWY (I),0,0,0,"3400   UNIVERSITY AVENUE, San Diego, CA",32.7497606,-117.1186691
88,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"6300   CALLE PAVANA  , San Diego, CA",32.680696,-117.054625
89,0,DUI ALCOHOL AND/OR DRUGS,1,0,0,"2400 W WEST MISSION BAY DRIVE, San Diego, CA",32.7709545,-117.2464838
90,1,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",0,0,0,"900   CESAR E CHAVEZ PARKWAY, San Diego, CA",32.701029,-117.144847
91,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,0,"3300   VISTA LANE, San Diego, CA",32.561848,-117.059021
92,1,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,0,0,1,"5500   ADELAIDE AVENUE, San Diego, CA",32.757577,-117.076038
93,1,DRIVE OVER MAXIMUM SPEED LIMIT,1,0,0,"6700   MUIRLANDS DRIVE, San Diego, CA",32.831446,-117.262647
94,1,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,0,"2700   GARNET AVENUE, San Diego, CA",32.80555141998525,-117.2218259926359
95,0,EVADE PEACE OFCR WITH WANTON DISREGARD FOR SAFETY (F),0,0,1,"2400   MARKET STREET, San Diego, CA",32.7115386,-117.1461254
96,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,0,"4000   HOME AVENUE, San Diego, CA",32.72255,-117.108514
97,1,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,0,"8700   RIO SAN DIEGO DRIVE, San Diego, CA",32.77522643431202,-117.14338724069148
98,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,0,"4700   SARATOGA AVENUE, San Diego, CA",32.745488,-117.244478
99,0,PEDESTRIAN CROSS AGAINST NO WALK SIGN/SIGNAL (I),1,0,0,"600 W BROADWAY  , San Diego, CA",32.715797,-117.168426
100,1,"ENTRANCE FROM STOP THROUGH HIGHWAY,YIELD UNTIL REASONABLY SAFE",1,0,0,"1700   C STREET, San Diego, CA",32.716896,-117.148472
101,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,0,"3200   LINCOLN AVENUE, San Diego, CA",32.750446,-117.124459
102,1,LEFT TURN LANE,1,0,0,"5500   EASTGATE MALL, San Diego, CA",32.880458,-117.188578
103,1,FOLLOWING TOO CLOSELY,1,0,0,"4000   INGRAHAM STREET, San Diego, CA",32.792434,-117.238742
104,0,TURNING ON CURVE OR CREST OF GRADE,0,0,1,"1300 S 36TH STREET, San Diego, CA",32.692758,-117.116853
105,1,LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING,1,0,0,"5300   COLLEGE AVENUE, San Diego, CA",32.7521129,-117.0640165
106,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"100 W SAN YSIDRO BOULEVARD, San Diego, CA",32.552296,-117.044677
107,1,EVADE PEACE OFCR WITH WANTON DISREGARD FOR SAFETY (F),0,0,0,"7400   BULLOCK DRIVE, San Diego, CA",32.698008,-117.03688
108,1,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,1,0,0,"10900   WESTONHILL DRIVE, San Diego, CA",32.919993,-117.135804
109,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),1,0,0,"3600   KURTZ STREET, San Diego, CA",32.75788012110482,-117.21318980385891
110,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,0,"4200   CALEDONIA DRIVE, San Diego, CA",32.81866482221189,-117.15761505846775
111,1,HIT AND RUN,0,0,1,"200   G STREET, San Diego, CA",32.712631,-117.162733
112,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1900   BALBOA AVENUE, San Diego, CA",32.8178529,-117.1857651
113,0,UNSAFE START ON HWY (I),0,0,1,"8000   JAMACHA ROAD, San Diego, CA",32.713867,-117.035027
114,0,RIGHT-OF-WAY:INOPERATIVE SIGNAL:STOP/YIELD AT LIMIT LINE (I),1,0,0,"10200   CAM RUIZ  , San Diego, CA",,
115,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1000   SANTA CLARA PLACE, San Diego, CA",32.782908,-117.249844
116,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,0,"1800   PALM AVENUE, San Diego, CA",32.5837636,-117.0887537
117,1,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,0,"6100   MONTEZUMA ROAD, San Diego, CA",32.770788,-117.067645
118,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,0,"5100   NARANJA STREET, San Diego, CA",32.708695,-117.084245
119,1,UNSAFE START ON HWY (I),0,0,1,"10600   CAMINO RUIZ  , San Diego, CA",32.9137901,-117.1439775
120,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"7000   EASTMAN STREET, San Diego, CA",32.788668,-117.169567
121,1,HIT AND RUN:PROP DAMAGE (M),0,0,1,"7700   MISSION GORGE ROAD, San Diego, CA",32.7913088,-117.0978242
122,1,FOLLOWING TOO CLOSELY,0,0,1,"800   UNIVERSITY AVENUE, San Diego, CA",32.7497606,-117.1186691
123,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,0,"100   SEA WORLD DRIVE, San Diego, CA",32.7616002,-117.2299145
124,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,0,"10   FT S OF NC  , San Diego, CA",,
125,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"2400   SANTO ROAD, San Diego, CA",32.79240355847442,-117.10610156027356
126,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"400   63RD STREET, San Diego, CA",32.70843395951774,-117.06243004838568
127,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1000   33RD STREET, San Diego, CA",32.716131,-117.12326
128,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,1,"3500   MIDWAY DRIVE, San Diego, CA",32.751222,-117.213512
129,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,0,"6100   MISSION CENTER ROAD, San Diego, CA",32.78338964616455,-117.15313498918393
130,0,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,0,"600   10TH AVENUE, San Diego, CA",32.711642,-117.155665
131,1,STARTING PARKED VEHICLES OR BACKING,0,0,0,"5500   EASTGATE MALL, San Diego, CA",32.880458,-117.188578
132,1,RIGHT-OF-WAY:FROM YIELD INTERSECTION (I),1,0,0,"2600   MARKET STREET, San Diego, CA",32.7115386,-117.1461254
133,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"4900   SHAWLINE STREET, San Diego, CA",32.830231,-117.163899
134,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"400   MARKET STREET, San Diego, CA",32.7115386,-117.1461254
135,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,1,"1900   COOLIDGE STREET, San Diego, CA",32.77912,-117.170358
136,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"6400   CRAWFORD STREET, San Diego, CA",32.789919,-117.093968
137,1,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",0,0,1,"6600   BISBY LAKE AVENUE, San Diego, CA",32.80383,-117.013731
138,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"3400   ARMSTRONG STREET, San Diego, CA",32.80554685160932,-117.16236081077801
139,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,0,"4300   MISSION BAY DRIVE, San Diego, CA",32.800613,-117.213896
140,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,1,"4600   ARAGON DRIVE, San Diego, CA",32.761562,-117.057412
141,0,OPERATE MOTOR SCOOTER UPON SIDEWALK (I),1,0,0,"0   05TH AVENUE, San Diego, CA",,
142,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"1000 W GRAPE STREET, San Diego, CA",32.724634,-117.17175
143,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,0,"100   21ST STREET, San Diego, CA",32.706397,-117.144971
144,1,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,0,"1900   FERN STREET, San Diego, CA",32.725603,-117.129346
145,1,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,0,"5000   DEL SOL BOULEVARD, San Diego, CA",32.5741,-117.066299
146,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"4700   SOLOLA AVENUE, San Diego, CA",32.693687462948645,-117.0924271082225
147,1,STARTING PARKED VEHICLES OR BACKING,0,0,1,"1100   WEST MORENA BOULEVARD, San Diego, CA",32.768201,-117.201313
148,1,FAILURE TO DRIVE ON RIGHT SIDE OF ROADWAY,0,0,1,"100 W PENNSYLVANIA AVENUE, San Diego, CA",32.745193,-117.164565
149,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,1,"5400   REPECHO DRIVE, San Diego, CA",32.831154113972296,-117.11231524092034
150,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"2700   GARNET AVENUE, San Diego, CA",32.80555141998525,-117.2218259926359
151,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,1,"3000   ANELLA ROAD, San Diego, CA",32.548684,-117.050688
152,0,DRIVING TO LEFT OF DOUBLE SOLID LINES,1,0,0,"0   CAM DE LA PLAZA  , San Diego, CA",,
153,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,0,"11000   PORTOBELO DRIVE, San Diego, CA",32.841142,-117.090177
154,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,1,"1000   E STREET, San Diego, CA",32.714771,-117.138191
155,1,STARTING PARKED VEHICLES OR BACKING,0,0,1,"1500   HERITAGE ROAD, San Diego, CA",32.571759,-116.996923
156,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"4600   63RD STREET, San Diego, CA",32.760706,-117.062275
157,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,0,"4900   COLLWOOD BOULEVARD, San Diego, CA",32.76728330561366,-117.08425580891827
158,1,RIGHT-OF-WAY:ENTERING HWY (I),1,0,1,"700   FRONT STREET, San Diego, CA",32.7127443,-117.1649385
159,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),1,0,1,"0   71ST STREET, San Diego, CA",32.7692962,-117.0448686
160,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"12100   RANCHO BERNARDO ROAD, San Diego, CA",33.02173536143454,-117.06854261905265
161,1,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,0,"6900   EL CAJON BOULEVARD, San Diego, CA",32.7859071,-116.9767298
162,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"9100   ACTIVITY ROAD, San Diego, CA",32.896537,-117.130894
163,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"3500   INDIA STREET, San Diego, CA",32.741543,-117.17971
164,1,UNSAFE START ON HWY (I),0,0,1,"1500   LAW STREET, San Diego, CA",32.805081,-117.244306
165,1,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),1,0,0,"1700   ELM AVENUE, San Diego, CA",33.167513,-117.335532
166,1,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,0,"0   10TH AVENUE, San Diego, CA",32.7169643,-117.1700668
167,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,0,"9800   AVIARY DRIVE, San Diego, CA",32.900522,-117.102363
168,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"900   SHERMAN STREET, San Diego, CA",32.763623,-117.200538
169,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"9400   RUFFIN COURT, San Diego, CA",32.830766,-117.123055
170,0,FOLLOWING TOO CLOSELY,0,0,0,"2400   05TH AVENUE, San Diego, CA",,
171,1,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,1,0,0,"0   SPRING CANYON ROAD, San Diego, CA",32.9226275,-117.0734881
172,0,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,0,"5400   MIRA MESA BOULEVARD, San Diego, CA",32.9123574,-117.1493366
173,1,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,1,"3200   CANON STREET, San Diego, CA",32.722943,-117.233889
174,0,STARTING PARKED VEHICLES OR BACKING,0,0,1,"6100   BALBOA AVENUE, San Diego, CA",32.8178529,-117.1857651
175,1,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,0,"10 W FEET OF ECL OF 2329 54TH STREET, San Diego, CA",,
176,0,RIGHT-OF-WAY:PED NOT IN CROSSWALK YIELD TO VEHS (I),1,0,0,"1100   FRONT STREET, San Diego, CA",32.716861,-117.164821
177,1,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,1,"2400   HOTEL NORTH CIRCLE, San Diego, CA",32.75842045,-117.17046931674109
178,1,RIGHT-OF-WAY:PED NOT IN CROSSWALK YIELD TO VEHS (M),1,0,0,"3400   ADAMS AVENUE, San Diego, CA",32.7632764,-117.1106502
179,0,HIT AND RUN:PROP DAMAGE (M),0,0,1,"6800   AMHERST STREET, San Diego, CA",32.767627,-117.051352
180,0,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,1,"1900   AVENIDA DEL MEXICO  , San Diego, CA",32.582977,-117.092563
181,0,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,0,"0   I-8  , San Diego, CA",32.7169643,-117.1700668
182,1,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,0,"7000   IMPERIAL AVENUE, San Diego, CA",32.713501,-117.0478
183,0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,0,"0   FRIARS ROAD, San Diego, CA",32.7721825,-117.1579537
